/home/joowoniese/anaconda3/envs/musiclabeling/bin/python3.9 /home/joowoniese/musicModel/LanguageClassifier/Train/Classifier_Advanced.py 
Common files: 38702

Starting Fold 1/5...
Fold 1 Alpha values: [0.43111352063422725, 0.1474810932579621, 0.18716916333233652, 0.1193868952108886, 0.1148493275645854]
Fold 1:
  Train class distribution: Counter({'spanish': 8551, 'korean': 8226, 'french': 6659, 'japanese': 5247, 'chinese': 2278})
  Validation class distribution: Counter({'spanish': 2138, 'korean': 2057, 'french': 1665, 'japanese': 1311, 'chinese': 570})
/hdd_ext/hdd3/joowoniese/languageRecognition/dataset/classifier_Model/kfold_epoch50_batch64/classifier_model_fold4.pth

Starting Fold 5/5...
Fold 5 Alpha values: [0.4311101849929225, 0.14747995215706222, 0.18720339333089542, 0.11937145999925579, 0.11483500951986406]
Fold 5:
  Train class distribution: Counter({'spanish': 8552, 'korean': 8227, 'french': 6659, 'japanese': 5246, 'chinese': 2278})
  Validation class distribution: Counter({'spanish': 2137, 'korean': 2056, 'french': 1665, 'japanese': 1312, 'chinese': 570})
Fold 5, Epoch [1/50], Train Loss: 0.0262, Train Acc: 84.88%, Val Loss: 0.1069, Val Acc: 61.63%
Fold 5, Epoch [2/50], Train Loss: 0.0085, Train Acc: 94.72%, Val Loss: 0.1837, Val Acc: 69.12%
Fold 5, Epoch [3/50], Train Loss: 0.0054, Train Acc: 96.61%, Val Loss: 0.2997, Val Acc: 45.96%
Fold 5, Epoch [4/50], Train Loss: 0.0036, Train Acc: 97.60%, Val Loss: 0.0208, Val Acc: 89.35%
Fold 5, Epoch [5/50], Train Loss: 0.0031, Train Acc: 97.98%, Val Loss: 0.1344, Val Acc: 63.24%
Fold 5, Epoch [6/50], Train Loss: 0.0026, Train Acc: 98.25%, Val Loss: 0.0017, Val Acc: 98.68%
Fold 5, Epoch [7/50], Train Loss: 0.0023, Train Acc: 98.44%, Val Loss: 0.0129, Val Acc: 90.93%
Fold 5, Epoch [8/50], Train Loss: 0.0023, Train Acc: 98.45%, Val Loss: 0.0359, Val Acc: 86.42%
Fold 5, Epoch [9/50], Train Loss: 0.0014, Train Acc: 99.12%, Val Loss: 0.0123, Val Acc: 90.76%
Fold 5, Epoch [10/50], Train Loss: 0.0015, Train Acc: 99.09%, Val Loss: 0.1087, Val Acc: 71.89%
Fold 5, Epoch [11/50], Train Loss: 0.0013, Train Acc: 99.11%, Val Loss: 0.2286, Val Acc: 63.60%
Fold 5, Epoch [12/50], Train Loss: 0.0013, Train Acc: 99.17%, Val Loss: 0.0025, Val Acc: 98.23%
Fold 5, Epoch [13/50], Train Loss: 0.0016, Train Acc: 99.05%, Val Loss: 0.0004, Val Acc: 99.70%
Fold 5, Epoch [14/50], Train Loss: 0.0013, Train Acc: 99.21%, Val Loss: 0.0045, Val Acc: 96.45%
Fold 5, Epoch [15/50], Train Loss: 0.0012, Train Acc: 99.17%, Val Loss: 0.1128, Val Acc: 70.19%
Fold 5, Epoch [16/50], Train Loss: 0.0011, Train Acc: 99.31%, Val Loss: 0.0922, Val Acc: 74.87%
Fold 5, Epoch [17/50], Train Loss: 0.0011, Train Acc: 99.27%, Val Loss: 0.0018, Val Acc: 99.08%
Fold 5, Epoch [18/50], Train Loss: 0.0010, Train Acc: 99.34%, Val Loss: 0.0289, Val Acc: 89.46%
Fold 5, Epoch [19/50], Train Loss: 0.0008, Train Acc: 99.47%, Val Loss: 0.1047, Val Acc: 76.37%
Fold 5, Epoch [20/50], Train Loss: 0.0009, Train Acc: 99.40%, Val Loss: 0.0028, Val Acc: 97.53%
Fold 5, Epoch [21/50], Train Loss: 0.0013, Train Acc: 99.14%, Val Loss: 0.0027, Val Acc: 97.83%
Fold 5, Epoch [22/50], Train Loss: 0.0010, Train Acc: 99.37%, Val Loss: 0.0015, Val Acc: 99.06%
Fold 5, Epoch [23/50], Train Loss: 0.0007, Train Acc: 99.50%, Val Loss: 0.0071, Val Acc: 96.94%
Fold 5, Epoch [24/50], Train Loss: 0.0008, Train Acc: 99.52%, Val Loss: 0.0038, Val Acc: 97.89%
Fold 5, Epoch [25/50], Train Loss: 0.0008, Train Acc: 99.50%, Val Loss: 0.0008, Val Acc: 99.47%
Fold 5, Epoch [26/50], Train Loss: 0.0009, Train Acc: 99.40%, Val Loss: 0.0016, Val Acc: 98.79%
Fold 5, Epoch [27/50], Train Loss: 0.0007, Train Acc: 99.55%, Val Loss: 0.0003, Val Acc: 99.81%
Fold 5, Epoch [28/50], Train Loss: 0.0009, Train Acc: 99.43%, Val Loss: 0.0038, Val Acc: 97.74%
Fold 5, Epoch [29/50], Train Loss: 0.0007, Train Acc: 99.59%, Val Loss: 1.0990, Val Acc: 29.91%
Fold 5, Epoch [30/50], Train Loss: 0.0005, Train Acc: 99.68%, Val Loss: 0.0004, Val Acc: 99.70%
Fold 5, Epoch [31/50], Train Loss: 0.0010, Train Acc: 99.39%, Val Loss: 0.0562, Val Acc: 87.52%
Fold 5, Epoch [32/50], Train Loss: 0.0007, Train Acc: 99.55%, Val Loss: 0.2156, Val Acc: 63.44%
Fold 5, Epoch [33/50], Train Loss: 0.0004, Train Acc: 99.71%, Val Loss: 0.0022, Val Acc: 98.54%
Fold 5, Epoch [34/50], Train Loss: 0.0008, Train Acc: 99.48%, Val Loss: 0.0004, Val Acc: 99.75%
Fold 5, Epoch [35/50], Train Loss: 0.0005, Train Acc: 99.74%, Val Loss: 0.0611, Val Acc: 80.13%
Fold 5, Epoch [36/50], Train Loss: 0.0003, Train Acc: 99.75%, Val Loss: 0.0056, Val Acc: 97.13%
Fold 5, Epoch [37/50], Train Loss: 0.0006, Train Acc: 99.57%, Val Loss: 0.0001, Val Acc: 99.95%
Fold 5, Epoch [38/50], Train Loss: 0.0007, Train Acc: 99.59%, Val Loss: 0.0015, Val Acc: 98.64%
Fold 5, Epoch [39/50], Train Loss: 0.0004, Train Acc: 99.74%, Val Loss: 0.0030, Val Acc: 98.53%
Fold 5, Epoch [40/50], Train Loss: 0.0006, Train Acc: 99.55%, Val Loss: 0.0001, Val Acc: 99.97%
Fold 5, Epoch [41/50], Train Loss: 0.0004, Train Acc: 99.70%, Val Loss: 0.2605, Val Acc: 69.70%
Fold 5, Epoch [42/50], Train Loss: 0.0007, Train Acc: 99.58%, Val Loss: 0.0057, Val Acc: 96.90%
Fold 5, Epoch [43/50], Train Loss: 0.0002, Train Acc: 99.87%, Val Loss: 0.0733, Val Acc: 82.07%
Fold 5, Epoch [44/50], Train Loss: 0.0012, Train Acc: 99.38%, Val Loss: 0.0026, Val Acc: 97.73%
Fold 5, Epoch [45/50], Train Loss: 0.0003, Train Acc: 99.78%, Val Loss: 0.0005, Val Acc: 99.69%
Fold 5, Epoch [46/50], Train Loss: 0.0006, Train Acc: 99.61%, Val Loss: 0.0737, Val Acc: 79.47%
Fold 5, Epoch [47/50], Train Loss: 0.0005, Train Acc: 99.70%, Val Loss: 0.0001, Val Acc: 99.91%
Fold 5, Epoch [48/50], Train Loss: 0.0004, Train Acc: 99.73%, Val Loss: 0.0018, Val Acc: 98.89%
Fold 5, Epoch [49/50], Train Loss: 0.0003, Train Acc: 99.80%, Val Loss: 0.0014, Val Acc: 99.10%
Fold 5, Epoch [50/50], Train Loss: 0.0004, Train Acc: 99.70%, Val Loss: 0.0001, Val Acc: 99.94%
/hdd_ext/hdd3/joowoniese/languageRecognition/dataset/classifier_Model/kfold_epoch50_batch64/classifier_model_fold5.pth
Training results plot saved to /hdd_ext/hdd3/joowoniese/languageRecognition/dataset/classifier_Model/kfold_epoch50_batch64/training_results.png

Process finished with exit code 0
